Date,target,Treatment,Live,Dead,total
08-Oct,GFP,Control,9,0,9
08-Oct,DWVa,virus_silence,9,0,9
08-Oct,VDV2,virus_silence,6,3,9
08-Oct,DWVb,virus_silence,9,0,9
08-Oct,Chl,gene_silence,9,0,9
08-Oct,Anl,gene_silence,8,1,9
08-Oct,Twitch,gene_silence,9,0,9
08-Oct,Sar,gene_silence,6,3,9
08-Oct,Gly,gene_silence,8,1,9
20-Oct,GFP,Control,4,5,9
20-Oct,DWVa,virus_silence,4,5,9
20-Oct,DWVb,virus_silence,3,6,9
20-Oct,CuP14,gene_silence,4,5,9
20-Oct,Sar,gene_silence,6,3,9
20-Oct,Glut,gene_silence,2,7,9
21-Oct,GFP,Control,3,6,9
21-Oct,DWVa,virus_silence,6,3,9
21-Oct,DWVb,virus_silence,1,8,9
21-Oct,Gly,gene_silence,7,2,9
21-Oct,clmd,gene_silence,2,7,9
23-Oct,GFP,Control,8,1,9
23-Oct,DWVb,virus_silence,7,2,9
23-Oct,CuP14,gene_silence,5,4,9
23-Oct,CuP8,gene_silence,8,1,9
23-Oct,clmd,gene_silence,5,4,9
23-Oct,Glut,gene_silence,6,3,9
23-Oct,VDV2,virus_silence,3,6,9
26-Oct,GFP,Control,2,7,9
26-Oct,DWVa,virus_silence,5,4,9
26-Oct,CuP8,gene_silence,5,4,9
26-Oct,Trans,gene_silence,8,10,18
26-Oct,Prolin,gene_silence,11,7,18
17-Nov,GFP,Control,8,1,9
17-Nov,Anl,gene_silence,8,1,9
17-Nov,clmd,gene_silence,8,1,9
17-Nov,Glut,gene_silence,3,6,9
17-Nov,HDD,gene_silence,5,4,9
17-Nov,Trans,gene_silence,8,1,9
21-Dec,GFP,Control,12,6,18
21-Dec,DWVa,virus_silence,15,2,17
21-Dec,VDV2,virus_silence,13,5,18
21-Dec,ARV_2,virus_silence,13,5,18
