Date,Experiment,Treatment,Sample,Gene,RQ
28-Jan,clmd_exp,Silenced,clmd-1,DWVa,0.150264829
28-Jan,clmd_exp,Silenced,clmd-1,VDV2,0.548586845
28-Jan,clmd_exp,Silenced,clmd-1,ARV2,1.606432915
28-Jan,clmd_exp,Silenced,clmd-10,DWVa,0.000207819
28-Jan,clmd_exp,Silenced,clmd-10,VDV2,1.198907733
28-Jan,clmd_exp,Silenced,clmd-10,ARV2,2.101011515
28-Jan,clmd_exp,Silenced,clmd-11,DWVa,0.006338525
28-Jan,clmd_exp,Silenced,clmd-11,VDV2,1.652528524
28-Jan,clmd_exp,Silenced,clmd-11,ARV2,3.49331069
28-Jan,clmd_exp,Silenced,clmd-12,DWVa,0.000237822
28-Jan,clmd_exp,Silenced,clmd-12,VDV2,0.880172908
28-Jan,clmd_exp,Silenced,clmd-12,ARV2,1.903977036
28-Jan,clmd_exp,Silenced,clmd-13,DWVa,0.680208445
28-Jan,clmd_exp,Silenced,clmd-13,VDV2,0.525192082
28-Jan,clmd_exp,Silenced,clmd-13,ARV2,2.343590736
28-Jan,clmd_exp,Silenced,clmd-14,DWVa,0.013836269
28-Jan,clmd_exp,Silenced,clmd-14,VDV2,0.884184361
28-Jan,clmd_exp,Silenced,clmd-14,ARV2,2.156058788
28-Jan,clmd_exp,Silenced,clmd-15,DWVa,7.341892719
28-Jan,clmd_exp,Silenced,clmd-15,VDV2,1.484449625
28-Jan,clmd_exp,Silenced,clmd-15,ARV2,8.50282383
28-Jan,clmd_exp,Silenced,clmd-2,DWVa,1.089096785
28-Jan,clmd_exp,Silenced,clmd-2,VDV2,1.091365933
28-Jan,clmd_exp,Silenced,clmd-2,ARV2,1.254718661
28-Jan,clmd_exp,Silenced,clmd-3,DWVa,4.51E-05
28-Jan,clmd_exp,Silenced,clmd-3,VDV2,0.234600425
28-Jan,clmd_exp,Silenced,clmd-3,ARV2,0.132022917
28-Jan,clmd_exp,Silenced,clmd-4,DWVa,3.42E-05
28-Jan,clmd_exp,Silenced,clmd-4,VDV2,0.670867145
28-Jan,clmd_exp,Silenced,clmd-4,ARV2,0.867372453
28-Jan,clmd_exp,Silenced,clmd-5,DWVa,0.000985049
28-Jan,clmd_exp,Silenced,clmd-5,VDV2,0.551896393
28-Jan,clmd_exp,Silenced,clmd-5,ARV2,0.61437875
28-Jan,clmd_exp,Silenced,clmd-6,DWVa,7.779678822
28-Jan,clmd_exp,Silenced,clmd-6,VDV2,0.583496332
28-Jan,clmd_exp,Silenced,clmd-6,ARV2,1.175482035
28-Jan,clmd_exp,Silenced,clmd-7,DWVa,26.15512085
28-Jan,clmd_exp,Silenced,clmd-7,VDV2,0.906218708
28-Jan,clmd_exp,Silenced,clmd-7,ARV2,2.012784243
28-Jan,clmd_exp,Silenced,clmd-8,DWVa,1.354491472
28-Jan,clmd_exp,Silenced,clmd-8,VDV2,0.717324853
28-Jan,clmd_exp,Silenced,clmd-8,ARV2,1.752617478
28-Jan,clmd_exp,Silenced,clmd-9,DWVa,0.000377256
28-Jan,clmd_exp,Silenced,clmd-9,VDV2,0.79770714
28-Jan,clmd_exp,Silenced,clmd-9,ARV2,1.432047009
23-Jan,CuP14_exp,Silenced,CuP14-1,ARV2,0.227170721
22-Jan,CuP14_exp,Silenced,CuP14-1,VDV2,0.64846307
21-Jan,CuP14_exp,Silenced,CuP14-1,DWVa,0.844249368
23-Jan,CuP14_exp,Silenced,CuP14-10,ARV2,0.295922041
22-Jan,CuP14_exp,Silenced,CuP14-10,VDV2,0.648986697
21-Jan,CuP14_exp,Silenced,CuP14-10,DWVa,6.25E-05
23-Jan,CuP14_exp,Silenced,CuP14-11,ARV2,0.718488514
22-Jan,CuP14_exp,Silenced,CuP14-11,VDV2,1.183239102
21-Jan,CuP14_exp,Silenced,CuP14-11,DWVa,0.377200842
23-Jan,CuP14_exp,Silenced,CuP14-12,ARV2,0.439379215
22-Jan,CuP14_exp,Silenced,CuP14-12,VDV2,1.479623795
21-Jan,CuP14_exp,Silenced,CuP14-12,DWVa,6.83E-05
23-Jan,CuP14_exp,Silenced,CuP14-2,ARV2,0.331317693
22-Jan,CuP14_exp,Silenced,CuP14-2,VDV2,1.058848858
21-Jan,CuP14_exp,Silenced,CuP14-2,DWVa,0.394207925
23-Jan,CuP14_exp,Silenced,CuP14-3,ARV2,0.243437961
22-Jan,CuP14_exp,Silenced,CuP14-3,VDV2,1.433555722
21-Jan,CuP14_exp,Silenced,CuP14-3,DWVa,0.979867637
23-Jan,CuP14_exp,Silenced,CuP14-4,ARV2,0.514969766
22-Jan,CuP14_exp,Silenced,CuP14-4,VDV2,1.162354827
21-Jan,CuP14_exp,Silenced,CuP14-4,DWVa,0.186924025
23-Jan,CuP14_exp,Silenced,CuP14-5,ARV2,1.496856451
22-Jan,CuP14_exp,Silenced,CuP14-5,VDV2,1.444334626
21-Jan,CuP14_exp,Silenced,CuP14-5,DWVa,1.976145744
23-Jan,CuP14_exp,Silenced,CuP14-6,ARV2,0.888622344
22-Jan,CuP14_exp,Silenced,CuP14-6,VDV2,1.480247855
21-Jan,CuP14_exp,Silenced,CuP14-6,DWVa,3.047558784
23-Jan,CuP14_exp,Silenced,CuP14-7,ARV2,0.346553832
22-Jan,CuP14_exp,Silenced,CuP14-7,VDV2,1.265493989
21-Jan,CuP14_exp,Silenced,CuP14-7,DWVa,0.069209315
23-Jan,CuP14_exp,Silenced,CuP14-8,ARV2,0.120648518
21-Jan,CuP14_exp,Silenced,CuP14-8,DWVa,1.319452643
23-Jan,CuP14_exp,Silenced,CuP14-9,ARV2,0.107316189
22-Jan,CuP14_exp,Silenced,CuP14-9,VDV2,0.683777153
21-Jan,CuP14_exp,Silenced,CuP14-9,DWVa,0.00202486
19-Jan,CuP8_exp,Silenced,CuP8-1,ARV2,1.071928859
19-Jan,CuP8_exp,Silenced,CuP8-1,DWVa,0.67207092
19-Jan,CuP8_exp,Silenced,CuP8-1,VDV2,0.624945045
19-Jan,CuP8_exp,Silenced,CuP8-10,ARV2,2.047338486
19-Jan,CuP8_exp,Silenced,CuP8-10,DWVa,1.419323325
19-Jan,CuP8_exp,Silenced,CuP8-10,VDV2,1.717242956
19-Jan,CuP8_exp,Silenced,CuP8-11,ARV2,2.182085514
19-Jan,CuP8_exp,Silenced,CuP8-11,DWVa,0.931816041
19-Jan,CuP8_exp,Silenced,CuP8-11,VDV2,1.547189713
19-Jan,CuP8_exp,Silenced,CuP8-12,ARV2,3.078506231
19-Jan,CuP8_exp,Silenced,CuP8-12,DWVa,0.73893553
19-Jan,CuP8_exp,Silenced,CuP8-12,VDV2,1.82015264
19-Jan,CuP8_exp,Silenced,CuP8-13,ARV2,1.427448988
19-Jan,CuP8_exp,Silenced,CuP8-13,DWVa,2.113085985
19-Jan,CuP8_exp,Silenced,CuP8-13,VDV2,0.676323473
19-Jan,CuP8_exp,Silenced,CuP8-2,ARV2,1.752190113
19-Jan,CuP8_exp,Silenced,CuP8-2,DWVa,23908.85742
19-Jan,CuP8_exp,Silenced,CuP8-2,VDV2,0.678302884
19-Jan,CuP8_exp,Silenced,CuP8-3,ARV2,2.550382614
19-Jan,CuP8_exp,Silenced,CuP8-3,DWVa,4.463777542
19-Jan,CuP8_exp,Silenced,CuP8-3,VDV2,1.109782696
19-Jan,CuP8_exp,Silenced,CuP8-4,ARV2,1.131178021
19-Jan,CuP8_exp,Silenced,CuP8-4,DWVa,117865.75
19-Jan,CuP8_exp,Silenced,CuP8-4,VDV2,0.707203567
19-Jan,CuP8_exp,Silenced,CuP8-5,ARV2,1.41023767
19-Jan,CuP8_exp,Silenced,CuP8-5,DWVa,416833.0938
19-Jan,CuP8_exp,Silenced,CuP8-5,VDV2,0.798135996
19-Jan,CuP8_exp,Silenced,CuP8-6,ARV2,1.738474607
19-Jan,CuP8_exp,Silenced,CuP8-6,DWVa,2.343626499
19-Jan,CuP8_exp,Silenced,CuP8-6,VDV2,1.713207603
19-Jan,CuP8_exp,Silenced,CuP8-7,ARV2,0.737028122
19-Jan,CuP8_exp,Silenced,CuP8-7,DWVa,0.339076787
19-Jan,CuP8_exp,Silenced,CuP8-7,VDV2,0.648951471
19-Jan,CuP8_exp,Silenced,CuP8-8,ARV2,1.654158115
19-Jan,CuP8_exp,Silenced,CuP8-8,DWVa,1.302171469
