Gene,pvalue,padj
Anl,0.23449883449883446,0.23449883449883446
Chl,0.24675324675324672,0.24675324675324672
clmd,0.003464616551842289,0.003464616551842289
CuP14,4.659311670706348e-5,4.659311670706348e-5
CuP8,1.608298821921113e-5,1.608298821921113e-5
Glut,0.012467254108120981,0.012467254108120981
Gly,7.574760877305739e-4,7.574760877305739e-4
HDD,0.02739613327848622,0.02739613327848622
Prolin,0.06426843232418514,0.06426843232418514
Sar,0.003127442115015781,0.003127442115015781
Trans,0.042795433130606096,0.042795433130606096
Twitch,0.09271904566022213,0.09271904566022213
